,coordinate1,coordinate2
f0,176,188
f1,454,293
f2,258,324
f3,199,80
f4,127,268
f5,48,94
f6,485,156
f7,317,54
f8,409,239
f9,173,84
f10,125,208
f11,248,119
f12,452,268
f13,25,124
f14,370,211
f15,304,152
f16,143,193
f17,339,200
f18,324,192
f19,255,265
f20,293,175
f21,71,217
f22,163,106
f23,101,233
f24,109,116
f25,34,288
f26,517,61
f27,363,77
f28,163,223
f29,393,137
f30,500,213
f31,501,96
f32,347,259
f33,462,315
f34,5,322
f35,41,38
f36,431,155
f37,97,284
f38,172,267
f39,455,204
f40,408,105
f41,132,63
f42,498,254
f43,278,160
f44,132,43
f45,34,184
f46,186,266
f47,123,279
f48,2,27
f49,485,318
f50,148,305
f51,379,81
f52,25,240
f53,370,157
f54,117,62
f55,485,35
f56,370,206
f57,452,347
f58,515,144
f59,539,100
f60,79,209
f61,110,317
f62,416,345
f63,124,230
f64,103,238
f65,408,158
f66,232,144
f67,224,270
f68,57,232
f69,501,60
f70,347,65
f71,163,212
f72,209,161
f73,376,326
f74,471,264
f75,140,98
f76,235,324
f77,71,330
f78,448,262
f79,485,20
f80,516,142
f81,416,323
f82,61,331
f83,224,203
f84,401,126
f85,478,294
f86,232,120
f87,454,201
f88,347,324
f89,370,282
f90,120,229
f91,304,155
f92,523,192
f93,370,84
f94,485,146
f95,218,15
f96,268,103
f97,241,174
f98,120,301
f99,25,66
f100,317,94
f101,5,324
f102,347,73
f103,286,247
f104,48,315
f105,408,280
f106,149,239
f107,373,165
f108,409,169
f109,209,44
f110,478,66
f111,247,136
f112,25,100
f113,393,69
f114,103,227
f115,131,259
f116,166,319
f117,143,312
f118,149,297
f119,80,209
f120,354,351
f121,462,6
f122,324,323
f123,293,74
f124,508,113
f125,485,199
f126,477,65
f127,409,136
f128,94,292
f129,432,332
f130,501,212
f131,485,172
f132,63,97
f133,186,310
f134,370,145
f135,356,270
f136,432,181
f137,255,35
f138,278,74
f139,117,289
f140,94,123
f141,97,157
f142,126,21
f143,178,148
f144,255,72
f145,485,27
f146,133,214
f147,25,169
f148,18,51
f149,94,296
f150,241,143
f151,393,169
f152,448,5
f153,362,83
f154,107,284
f155,339,193
f156,324,85
f157,51,6
f158,287,151
f159,284,180
f160,278,115
f161,442,350
f162,477,308
f163,324,68
f164,25,59
f165,140,79
f166,310,177
f167,94,187
f168,87,217
f169,132,42
f170,117,127
f171,0,103
f172,539,45
f173,201,48
f174,124,168
f175,500,286
f176,172,264
f177,25,194
f178,209,160
f179,386,271
f180,124,326
f181,84,169
f182,455,322
f183,57,96
f184,262,115
f185,317,81
f186,48,185
f187,166,284
