,coordinate1,coordinate2
c0,34,232
c1,57,219
c2,25,237
c3,94,241
c4,64,47
c5,2,93
c6,71,27
c7,25,32
c8,56,116
c9,94,21
c10,84,258
c11,17,246
c12,94,26
c13,64,139
c14,80,21
c15,71,67
c16,80,255
c17,109,188
c18,77,159
c19,25,102
c20,78,159
c21,94,49
c22,48,108
c23,25,123
c24,71,50
c25,78,167
c26,2,142
c27,80,235
c28,51,238
c29,87,157
c30,87,74
c31,15,25
c32,71,217
c33,2,57
c34,61,168
c35,80,252
c36,71,229
c37,38,135
c38,33,229
c39,103,190
c40,107,246
c41,51,119
c42,103,59
c43,102,243
c44,2,109
c45,80,190
c46,79,30
c47,94,28
c48,94,54
c49,110,89
c50,64,51
c51,18,46
c52,55,33
c53,40,205
c54,40,184
c55,2,246
c56,94,30
c57,55,233
c58,80,195
c59,102,196
c60,10,54
c61,2,187
c62,25,223
c63,0,53
c64,101,8
c65,94,226
c66,102,6
c67,103,205
c68,55,212
c69,11,39
c70,5,203
c71,25,177
c72,0,193
c73,103,200
c74,84,256
c75,34,229
c76,48,35
c77,56,206
c78,48,233
c79,2,194
c80,17,31
c81,40,58
c82,51,157
c83,48,93
c84,80,5
c85,100,211
c86,56,21
c87,109,159
c88,87,167
c89,2,171
c90,2,79
c91,0,92
c92,128,235
c93,10,39
c94,71,133
c95,71,228
c96,2,175
c97,87,175
c98,71,36
c99,10,33
c100,2,69
c101,34,129
c102,71,206
c103,109,161
c104,25,146
c105,107,128
c106,102,21
c107,25,164
c108,107,199
c109,40,217
c110,41,234
c111,2,41
c112,51,130
c113,103,167
c114,97,244
c115,128,123
c116,48,238
c117,97,140
c118,71,16
c119,5,23
c120,110,34
c121,100,226
c122,51,35
c123,9,87
c124,94,249
c125,61,67
c126,94,202
c127,0,29
c128,28,53
c129,25,80
c130,74,98
c131,128,109
c132,97,18
c133,32,43
c134,61,123
c135,84,117
c136,10,168
c137,0,39
c138,0,54
c139,11,46
c140,74,32
c141,25,13
c142,25,193
c143,28,213
c144,71,209
c145,56,212
c146,87,72
c147,101,178
c148,94,195
c149,100,132
c150,25,147
c151,71,202
c152,11,123
c153,51,83
c154,79,190
c155,34,54
c156,2,160
c157,28,75
c158,79,76
c159,25,211
c160,110,219
c161,25,184
