,coordinate1,coordinate2
f0,101,15
f1,110,526
f2,107,49
f3,166,363
f4,240,428
f5,18,291
f6,10,15
f7,193,462
f8,74,71
f9,48,216
f10,117,140
f11,120,431
f12,218,382
f13,48,114
f14,268,23
f15,186,441
f16,94,391
f17,41,117
f18,148,118
f19,299,17
f20,140,64
f21,255,415
f22,195,52
f23,10,173
f24,71,90
f25,153,83
f26,143,475
f27,193,515
f28,287,59
f29,33,51
f30,107,293
f31,97,291
f32,232,51
f33,299,529
f34,263,369
f35,149,14
f36,79,441
f37,35,534
f38,245,94
f39,245,323
f40,281,132
f41,11,454
f42,278,520
f43,209,66
f44,186,528
f45,225,464
f46,143,32
f47,163,257
f48,263,306
f49,209,160
f50,124,497
f51,241,32
f52,2,435
f53,109,176
f54,255,44
f55,80,57
f56,37,543
f57,292,283
f58,11,24
f59,132,173
f60,209,386
f61,255,215
f62,242,523
f63,130,31
f64,102,405
f65,241,413
f66,217,73
f67,102,399
f68,74,196
f69,172,487
f70,10,244
f71,156,240
f72,94,145
f73,5,394
f74,255,428
f75,232,347
f76,97,367
f77,239,14
f78,186,333
f79,34,417
f80,166,356
f81,80,137
f82,101,445
f83,189,129
f84,225,28
f85,194,134
f86,18,232
f87,268,21
f88,189,55
f89,103,21
f90,217,428
f91,170,398
f92,34,530
f93,34,142
f94,287,331
f95,132,183
f96,235,419
f97,235,201
f98,195,9
f99,32,95
f100,41,352
f101,171,543
f102,149,500
f103,291,49
f104,51,533
f105,263,242
f106,212,22
f107,41,316
f108,163,37
f109,245,275
f110,5,79
f111,71,394
f112,57,505
f113,225,231
f114,11,44
f115,48,150
f116,258,476
f117,2,350
f118,172,515
f119,299,334
f120,209,104
f121,263,394
f122,97,105
f123,48,187
f124,51,463
f125,143,109
f126,10,201
f127,176,273
f128,2,464
f129,64,333
f130,34,438
f131,94,44
f132,166,445
f133,163,25
f134,171,480
f135,281,324
f136,239,70
f137,5,216
f138,87,435
f139,25,51
f140,166,135
f141,97,329
f142,48,71
f143,80,441
f144,291,336
f145,255,41
f146,153,92
f147,84,373
f148,216,251
f149,11,522
f150,94,395
f151,51,313
f152,130,67
f153,201,277
f154,32,220
f155,153,17
f156,71,71
f157,54,146
f158,278,33
f159,78,182
f160,51,166
f161,86,85
f162,263,512
f163,270,272
f164,263,478
f165,209,449
f166,281,215
f167,5,374
f168,87,328
f169,56,353
f170,292,488
f171,264,530
f172,55,58
f173,262,45
f174,245,90
f175,222,445
f176,25,264
f177,78,514
f178,102,507
f179,264,310
f180,241,85
f181,34,123
f182,258,225
f183,120,525
f184,32,437
f185,255,122
f186,268,329
f187,239,151
f188,28,270
f189,189,10
f190,189,379
f191,186,513
f192,5,243
f193,140,466
f194,109,243
f195,268,350
f196,5,152
f197,97,411
f198,232,141
f199,74,21
f200,225,463
f201,278,94
f202,130,535
f203,11,524
f204,87,459
f205,241,51
f206,238,11
f207,186,57
f208,80,507
f209,5,74
f210,258,311
f211,33,18
f212,5,349
f213,58,534
f214,287,381
f215,74,194
f216,163,342
f217,117,85
f218,9,77
f219,186,283
f220,209,401
f221,179,502
f222,215,259
f223,258,355
f224,153,79
f225,235,58
f226,299,487
f227,258,17
f228,57,358
f229,278,217
f230,278,294
f231,240,475
f232,38,28
f233,94,302
f234,97,299
f235,178,90
f236,94,202
f237,56,522
f238,2,230
f239,2,380
f240,78,521
f241,156,309
f242,71,76
f243,163,386
f244,186,270
f245,239,48
f246,215,302
f247,117,116
f248,64,519
f249,263,469
f250,199,266
f251,5,366
f252,241,383
f253,143,448
f254,240,527
f255,248,335
f256,240,413
f257,209,455
f258,278,58
f259,148,476
f260,278,10
f261,87,512
f262,64,237
f263,287,185
f264,132,176
f265,51,446
f266,194,21
f267,155,319
f268,64,332
f269,268,26
f270,120,510
f271,269,296
f272,263,361
f273,181,543
f274,132,144
f275,149,207
f276,140,191
f277,186,307
