,coordinate1,coordinate2
f0,3737,9219
f1,3055,5277
f2,5867,2937
f3,3854,5779
f4,4849,3374
f5,3949,6098
f6,3345,6469
f7,4058,6149
f8,5391,9691
f9,3288,5773
f10,5628,7655
f11,4546,2819
f12,4060,9478
f13,3982,7189
f14,4145,9504
f15,8131,4185
f16,7106,5591
f17,5620,9417
f18,4090,4333
f19,4680,4740
f20,3818,5823
f21,5050,10692
f22,3395,4588
f23,5466,10346
f24,3837,8054
f25,7922,4305
f26,3724,6704
f27,4568,6527
f28,5298,9784
f29,5025,9610
f30,4827,7980
f31,4295,6102
f32,4081,7645
f33,4185,5608
f34,4065,6259
f35,4484,5136
f36,3540,5953
f37,5019,10412
f38,4268,6134
f39,3405,7046
f40,5098,8502
f41,5490,8020
f42,4357,6445
f43,4869,6524
f44,4518,8767
f45,5243,7783
f46,3801,8318
f47,5804,9917
f48,4863,7599
f49,7810,3379
f50,5583,6794
f51,7973,3002
f52,6115,9555
f53,5248,5635
f54,5587,3189
f55,6189,5047
f56,3135,6650
f57,5395,5769
f58,3472,6803
f59,3815,5601
f60,8192,3619
f61,5565,5728
f62,5529,10515
f63,8308,3850
f64,3536,6267
f65,6196,7943
f66,4909,10756
f67,4482,4445
f68,5171,4742
f69,4051,5260
f70,4000,7342
f71,3912,7015
f72,4921,10678
f73,5270,6741
f74,3672,5211
f75,3917,5906
f76,7700,3853
f77,3530,5685
f78,3611,8269
f79,3179,6246
f80,4785,6165
f81,3761,5197
f82,8145,3620
f83,3501,6372
f84,6537,4998
f85,3431,5267
f86,5747,8041
f87,3933,7040
f88,4245,6506
f89,7190,5759
f90,5077,7714
f91,5667,10244
f92,3661,6988
f93,5948,8759
f94,5366,5112
f95,5945,9543
f96,6174,2704
f97,3754,6046
f98,5337,3656
f99,4120,5530
f100,7913,4105
f101,3779,8363
f102,5081,5538
f103,3068,5383
f104,4239,2693
f105,5716,9540
f106,6656,3550
f107,4324,3339
f108,3400,5333
f109,3870,5512
f110,5466,10585
f111,5528,9236
f112,3902,5508
f113,5482,8054
f114,3651,5186
f115,4069,5520
f116,3270,6012
f117,6258,3930
f118,5577,4494
f119,5762,8952
f120,4961,8377
f121,4390,3642
f122,5450,5319
f123,4812,8843
f124,5513,8667
f125,5045,7623
f126,4644,6844
f127,5428,9736
f128,3791,5150
f129,4304,5115
f130,4403,5925
f131,7837,2837
f132,7232,3857
f133,5968,9243
f134,6235,9423
f135,3514,6688
f136,4009,4813
f137,5580,9040
f138,6378,4983
f139,5324,2896
f140,7981,4036
f141,5866,9744
f142,7068,3652
f143,4331,8417
f144,4955,7288
f145,6885,3325
f146,4680,7629
f147,5298,3792
f148,3795,4760
f149,4952,10538
f150,3486,6710
f151,4420,2858
f152,6458,3171
f153,4715,7857
f154,4213,6195
f155,7441,3413
f156,7287,5388
f157,5414,8095
f158,4055,6864
f159,3266,5874
f160,4314,3095
f161,6182,3614
f162,5694,3427
f163,8261,3843
f164,5076,9082
f165,3736,6715
f166,3609,5714
f167,4807,6384
f168,5809,4985
f169,3528,6288
f170,5769,4889
f171,4074,6167
f172,7033,4365
f173,6067,8700
f174,6102,9509
f175,4820,5640
f176,5133,3236
f177,4593,7959
f178,4621,5428
f179,4148,3092
f180,4188,4494
f181,4179,3368
f182,5849,9248
f183,4882,6364
f184,4133,4946
f185,4237,4917
f186,7048,3392
f187,6817,3137
f188,5738,9374
f189,3723,5326
f190,5707,4545
f191,7722,2989
