,coordinate1,coordinate2
f0,7090,7013
f1,7894,6209
f2,9012,6531
f3,6669,8562
f4,6120,6536
f5,6805,8922
f6,8344,9100
f7,8822,6715
f8,7990,7932
f9,7358,5751
f10,8299,8047
f11,6475,9534
f12,7826,10068
f13,6532,5907
f14,8279,8036
f15,6438,9674
f16,7642,10576
f17,5968,7025
f18,6503,5886
f19,7247,7121
f20,7216,8313
f21,7890,7907
f22,5716,6296
f23,8491,9197
f24,8245,7185
f25,8628,6757
f26,8133,7685
f27,6055,6422
f28,8930,7720
f29,7938,7970
f30,7849,6066
f31,7224,6493
f32,7437,6937
f33,5659,6920
f34,6807,9114
f35,7176,7128
f36,8691,6931
f37,7583,9380
f38,7994,9014
f39,8293,7955
f40,7010,8152
f41,7874,9443
f42,6993,8778
f43,8569,8341
f44,8225,6497
f45,7813,8531
f46,8973,6954
f47,7485,8153
f48,7483,10296
f49,6843,8276
f50,8287,8784
f51,7789,9531
f52,7173,9059
f53,6575,9316
f54,8199,6637
f55,7677,6998
f56,6219,5903
f57,6913,6914
f58,6295,6483
f59,7202,5855
f60,9131,7042
f61,7770,7649
f62,8071,9796
f63,8333,8190
f64,7077,7538
f65,6600,6901
f66,8033,7196
f67,6893,8986
f68,8311,8927
f69,8600,7868
f70,6396,8570
f71,5900,6496
f72,7480,6889
f73,7266,7395
f74,7417,6006
f75,6578,6020
f76,7696,9122
f77,7546,9995
f78,8422,7769
f79,8435,6769
f80,6454,6308
f81,7188,6168
f82,8150,8667
f83,5890,6718
f84,8085,9705
f85,8661,8315
f86,7550,9682
f87,7089,6578
f88,7444,8181
f89,8030,7954
f90,6829,6294
f91,6031,6047
f92,8416,7445
f93,6302,6534
f94,5788,6744
f95,8345,8847
f96,8017,10572
f97,8726,7984
f98,8119,10081
f99,7158,8472
f100,7915,10345
f101,7473,7980
f102,8389,6898
f103,6295,8323
f104,7630,6693
f105,8652,6899
f106,7900,8150
f107,7452,5897
f108,6471,6835
f109,8297,7157
f110,8853,6938
f111,6371,8427
f112,6723,9403
f113,6339,5919
f114,6790,7415
f115,8122,7928
f116,6805,7991
f117,6147,6628
f118,8926,6871
f119,7312,6335
f120,8602,7120
f121,8600,6938
f122,7832,6924
f123,7337,6225
f124,8766,6844
f125,6551,5928
f126,8109,6380
f127,7507,7416
f128,7297,7133
f129,7749,9296
f130,6829,8124
f131,7053,6931
f132,6867,7266
f133,6716,6562
f134,8157,9901
f135,8766,7986
f136,7872,9939
f137,7439,7584
f138,7779,9763
f139,7766,7973
f140,7931,6969
f141,6955,6633
f142,7535,10258
f143,6102,6950
f144,6727,7685
f145,7967,9387
f146,7092,6740
f147,8275,9976
f148,9070,6817
f149,7157,6187
f150,7554,8894
f151,8700,6740
f152,7037,8932
f153,7691,6686
f154,7031,6060
f155,7050,7931
f156,6589,9003
f157,6794,7324
f158,7426,8362
f159,6437,7146
f160,6663,7308
f161,8427,8588
f162,7686,9567
f163,7175,9484
f164,7754,8720
f165,8040,7722
f166,7177,7795
f167,8350,9424
f168,6883,8743
f169,7027,8224
f170,8530,6924
f171,6565,8618
f172,8319,9887
f173,6559,6899
f174,7782,10380
f175,7204,5805
f176,5749,6944
f177,5946,6367
f178,7964,8527
f179,6246,7360
f180,6380,7993
f181,5822,6877
f182,7566,10249
f183,8154,6493
f184,6288,6169
f185,6357,7143
f186,8436,8376
f187,7600,8077
f188,7934,9234
f189,6344,7193
f190,5659,6910
f191,7061,6072
f192,7836,9856
f193,5730,6458
f194,7627,6076
f195,8262,9814
f196,6907,7268
f197,6920,7430
f198,6206,9674
f199,6247,9190
f200,8750,7439
f201,5891,6000
f202,6758,6756
f203,7611,8522
f204,6903,5974
f205,6616,7923
f206,8490,8308
f207,7785,10562
f208,6041,5805
f209,8238,7589
f210,6672,8956
f211,5896,6122
f212,7258,8264
f213,6452,6813
f214,6782,9669
f215,7635,10505
f216,8506,7227
f217,8137,6432
f218,7311,7508
f219,8820,7918
f220,6921,9260
f221,6844,8013
f222,8386,9284
f223,7100,6791
f224,6881,7408
f225,7042,9276
f226,7615,7724
f227,8320,6865
f228,6976,8929
f229,5898,6304
f230,6425,7894
f231,7814,8025
f232,6392,6113
f233,8229,8711
f234,7732,7365
f235,8098,9170
f236,6967,9849
f237,8320,8250
f238,7810,10431
f239,7009,8870
f240,7996,8721
f241,7927,7060
f242,6879,8146
f243,7456,10214
f244,6415,7196
f245,6549,5979
f246,8895,6667
f247,8296,7420
f248,7489,6919
f249,9083,6989
f250,8264,7691
f251,7967,7769
f252,7485,6545
f253,7126,5963
f254,6404,6993
f255,8705,7781
f256,8635,7980
f257,7229,7545
f258,8079,8451
f259,7636,6087
f260,7786,6124
f261,6172,6053
f262,8308,6672
f263,5876,6333
f264,6111,6293
f265,5758,6733
f266,8281,6378
f267,7426,8595
f268,5864,6616
f269,5962,6923
f270,8134,6735
f271,5841,6686
f272,6314,9284
f273,6721,8999
f274,7352,8662
f275,7161,9786
f276,8212,10034
f277,8243,10016
f278,9127,6677
f279,5973,6894
f280,6883,7590
f281,6727,9788
f282,8202,6334
f283,8852,6726
f284,6504,6775
f285,7998,7285
f286,7177,9898
f287,6959,7695
f288,7378,7369
f289,8022,8601
f290,8738,7489
f291,6764,6837
f292,7452,10072
f293,7375,9533
f294,8812,7412
f295,7260,7981
f296,6900,8127
f297,7118,7530
f298,8224,6749
f299,8468,7872
f300,7404,7462
f301,7961,6050
f302,8333,7502
f303,8033,8813
f304,6583,6354
f305,7819,10240
f306,8336,9271
f307,6855,7316
f308,6541,7090
f309,6677,7440
f310,7353,7247
f311,7104,9005
f312,6088,6130
f313,8096,9453
f314,7723,6869
f315,8321,9160
f316,8618,6979
f317,6448,7127
f318,6360,8922
f319,7284,9761
f320,6827,7032
f321,7519,9468
f322,6012,6926
f323,6892,8541
f324,6720,9484
f325,7836,7521
f326,6004,5965
f327,6845,9388
f328,7600,9462
f329,8153,7221
f330,8477,6973
f331,6545,9557
f332,7562,9642
f333,7159,6592
f334,6755,5886
f335,8229,8266
f336,7198,7321
f337,9022,6541
f338,7557,8833
f339,7114,7631
f340,6500,8029
f341,5905,6365
f342,8707,8186
f343,9090,6595
f344,8551,6430
f345,6993,6241
f346,7086,7802
f347,6555,6070
f348,6181,5841
f349,8034,6943
f350,7339,9663
f351,6899,6985
f352,8359,9919
f353,6631,9197
f354,7442,7534
f355,6528,7626
f356,7865,7108
f357,6752,9425
f358,6488,9241
f359,7786,7519
f360,6320,9841
f361,8555,9362
f362,8008,8448
f363,5910,6264
f364,6994,8060
f365,6967,7513
f366,8462,9631
f367,7508,9953
f368,7052,9519
f369,8017,9874
f370,6800,7648
f371,6736,7261
f372,6306,8991
f373,6589,5758
f374,6661,8511
f375,6828,8629
f376,6224,7643
f377,7706,7738
f378,7958,9134
f379,6250,6582
f380,8215,7184
f381,7868,8877
f382,7613,6621
f383,7255,8557
f384,8061,8400
f385,7017,6373
f386,6742,6199
f387,7512,8932
f388,7061,6294
f389,7152,7926
f390,7711,6221
f391,7923,8081
f392,7755,6375
f393,7295,5809
f394,6512,7069
f395,6215,7602
f396,7514,6344
f397,6967,7978
f398,8309,9675
f399,8478,6710
f400,8605,9142
f401,6885,5922
f402,7258,7344
f403,8006,7569
f404,7143,6500
f405,8260,9400
f406,6516,7898
f407,6201,6782
f408,7142,8613
f409,6331,6576
f410,7242,10255
f411,6982,6948
f412,5966,6610
f413,7117,8480
f414,7897,7069
f415,9110,6606
f416,7252,7930
f417,7747,7709
f418,6636,8854
f419,5957,6114
f420,8487,8591
f421,6527,6716
f422,8548,7886
f423,8462,9408
f424,6334,8133
f425,7480,9436
f426,8684,8488
f427,6683,9169
f428,6401,9834
f429,6667,9997
f430,6569,9457
f431,7799,6761
f432,7214,6270
f433,7762,8296
f434,7313,7690
f435,7134,9714
f436,6315,8567
f437,6723,7088
