,coordinate1,coordinate2
c0,2,107
c1,48,201
c2,17,67
c3,86,9
c4,84,163
c5,28,90
c6,17,175
c7,63,97
c8,117,6
c9,51,71
c10,38,158
c11,103,242
c12,74,75
c13,71,97
c14,117,33
c15,117,97
c16,63,90
c17,71,184
c18,87,199
c19,63,201
c20,94,78
c21,97,171
c22,11,206
c23,109,139
c24,28,164
c25,71,217
c26,25,226
c27,61,162
c28,38,90
c29,5,159
c30,80,87
c31,10,134
c32,117,87
c33,63,236
c34,35,180
c35,61,193
c36,74,21
c37,140,41
c38,57,192
c39,140,126
c40,140,128
c41,28,96
c42,2,183
c43,78,81
c44,51,190
c45,38,92
c46,5,196
c47,2,197
c48,51,30
c49,80,97
c50,125,238
c51,159,167
c52,94,127
c53,51,188
c54,5,106
c55,2,242
c56,48,127
c57,130,83
c58,41,246
c59,18,159
c60,57,78
c61,17,226
c62,79,97
c63,140,203
c64,155,54
c65,25,68
c66,61,181
c67,155,182
c68,155,200
c69,28,75
c70,132,31
c71,8,161
c72,41,127
c73,15,133
c74,124,164
c75,5,229
c76,10,105
c77,117,65
c78,84,153
c79,140,13
c80,117,168
c81,25,97
c82,124,45
c83,11,96
c84,132,87
c85,11,244
c86,81,249
c87,48,122
c88,57,187
c89,117,96
c90,41,212
c91,48,89
c92,117,212
c93,120,185
c94,2,192
c95,64,230
c96,140,113
c97,110,226
c98,56,28
c99,11,112
c100,2,112
c101,74,28
c102,84,93
c103,10,192
c104,126,188
c105,63,211
c106,109,127
c107,132,179
c108,63,226
c109,94,110
c110,25,92
c111,25,189
c112,117,190
c113,107,106
c114,78,78
c115,28,145
c116,28,183
c117,103,101
c118,25,114
c119,17,225
c120,25,48
c121,25,127
c122,31,76
c123,140,50
c124,109,118
c125,94,148
c126,107,104
c127,103,163
c128,117,93
c129,127,160
c130,18,86
c131,117,191
c132,28,131
c133,71,200
c134,41,183
c135,79,120
c136,17,71
c137,132,130
c138,109,130
c139,61,183
c140,33,187
c141,133,13
c142,2,200
c143,34,190
c144,12,233
c145,2,90
c146,51,172
c147,28,189
c148,32,180
c149,117,175
c150,10,137
c151,2,212
c152,51,146
c153,132,6
c154,25,27
c155,61,156
c156,5,16
c157,48,70
c158,25,138
c159,86,183
c160,148,184
c161,38,96
c162,2,92
c163,2,110
c164,125,45
c165,94,6
c166,61,77
c167,94,209
c168,64,224
c169,5,145
c170,38,137
c171,117,181
c172,71,201
c173,48,92
c174,130,167
c175,10,155
c176,102,163
c177,15,181
c178,28,224
c179,28,149
c180,25,225
c181,28,88
c182,156,109
c183,133,147
c184,28,58
c185,124,150
c186,117,124
c187,79,234
c188,2,75
c189,117,113
c190,48,231
c191,32,46
c192,117,74
c193,117,203
c194,2,74
c195,61,150
c196,35,161
c197,84,70
c198,126,186
c199,2,180
c200,159,242
c201,88,258
c202,5,130
c203,140,174
c204,110,213
c205,120,193
c206,34,89
c207,58,240
c208,25,187
c209,74,100
c210,107,50
c211,61,62
c212,2,131
c213,0,113
c214,117,92
c215,11,5
c216,155,204
c217,5,240
c218,2,94
c219,5,220
c220,124,171
c221,120,224
c222,140,99
c223,28,11
c224,38,41
c225,125,157
c226,2,96
c227,25,51
c228,140,158
c229,2,195
c230,155,70
c231,11,83
c232,48,49
c233,71,190
c234,109,93
c235,149,9
c236,25,208
c237,140,218
c238,149,41
c239,51,15
c240,56,49
c241,84,252
c242,18,84
c243,51,50
c244,10,90
c245,18,161
c246,57,43
c247,28,177
c248,31,150
c249,34,142
c250,15,236
c251,25,227
c252,140,205
c253,28,30
c254,87,226
c255,155,39
c256,25,25
c257,94,77
c258,63,94
c259,57,40
c260,126,23
c261,117,45
c262,117,250
c263,109,77
c264,74,65
c265,64,56
c266,120,24
c267,11,155
c268,49,198
c269,2,70
c270,133,138
c271,147,43
c272,125,78
c273,132,65
c274,117,105
c275,149,43
c276,153,176
c277,140,51
c278,5,97
c279,40,211
c280,117,154
c281,57,49
c282,5,181
c283,143,195
c284,110,113
c285,25,134
c286,117,179
c287,40,199
c288,140,39
c289,31,142
c290,38,33
c291,155,161
c292,124,143
c293,51,183
c294,32,51
c295,120,159
c296,0,167
c297,94,198
c298,28,7
c299,57,177
c300,40,227
c301,143,42
c302,117,183
c303,34,126
c304,28,101
c305,124,77
c306,48,90
c307,11,131
c308,150,5
c309,84,90
