,coordinate1,coordinate2
c0,163,144
c1,10,172
c2,230,364
c3,127,0
c4,61,84
c5,218,366
c6,186,329
c7,217,130
c8,140,205
c9,212,28
c10,230,183
c11,239,268
c12,2,289
c13,87,340
c14,102,346
c15,246,63
c16,48,210
c17,103,71
c18,86,226
c19,110,50
c20,202,53
c21,103,360
c22,186,144
c23,251,227
c24,57,180
c25,240,8
c26,28,274
c27,15,206
c28,251,226
c29,34,109
c30,239,369
c31,38,187
c32,172,82
c33,57,196
c34,25,271
c35,79,279
c36,149,95
c37,230,78
c38,193,151
c39,186,136
c40,166,247
c41,212,105
c42,230,184
c43,166,337
c44,172,232
c45,209,295
c46,217,62
c47,0,217
c48,132,216
c49,193,184
c50,2,269
c51,199,208
c52,217,344
c53,25,109
c54,171,243
c55,147,327
c56,2,235
c57,140,104
c58,209,177
c59,57,294
c60,230,138
c61,107,147
c62,87,45
c63,51,197
c64,251,331
c65,15,262
c66,149,29
c67,189,153
c68,117,354
c69,243,353
c70,11,117
c71,243,113
c72,11,165
c73,51,300
c74,15,91
c75,34,321
c76,209,345
c77,117,22
c78,251,151
c79,132,144
c80,149,83
c81,193,103
c82,243,238
c83,49,113
c84,163,253
c85,97,311
c86,25,270
c87,143,329
c88,215,57
c89,230,28
c90,222,345
c91,173,294
c92,140,81
c93,230,266
c94,103,218
c95,10,309
c96,2,273
c97,239,228
c98,48,116
c99,216,31
c100,166,342
c101,163,318
c102,233,56
c103,246,345
c104,117,316
c105,222,347
c106,103,83
c107,102,79
c108,149,62
c109,212,155
c110,212,209
c111,5,227
c112,166,241
c113,209,238
c114,169,173
c115,25,118
c116,149,65
c117,233,141
c118,222,360
c119,209,264
c120,103,321
c121,86,64
c122,147,338
c123,40,33
c124,140,129
c125,243,84
c126,102,13
c127,216,66
c128,218,333
c129,201,219
c130,63,349
c131,140,126
c132,186,109
c133,25,207
c134,48,6
c135,25,155
c136,17,58
c137,71,268
c138,230,214
c139,2,39
c140,5,252
c141,28,223
c142,163,195
c143,143,273
c144,25,327
c145,25,294
c146,217,88
c147,164,36
c148,10,268
c149,94,330
c150,61,365
c151,163,197
c152,189,326
c153,153,293
c154,10,216
c155,38,119
c156,10,178
c157,0,224
c158,140,143
c159,2,246
c160,199,197
c161,209,195
c162,71,281
c163,34,182
c164,38,201
c165,5,306
c166,218,359
c167,94,312
c168,117,52
c169,97,221
c170,195,36
c171,117,144
c172,140,357
c173,2,107
c174,172,102
c175,148,252
c176,103,336
c177,222,236
c178,209,271
c179,132,49
c180,170,285
c181,51,151
c182,97,258
c183,74,103
c184,87,253
c185,132,6
c186,17,68
c187,238,268
c188,0,226
c189,148,65
c190,222,155
c191,2,287
c192,186,339
c193,57,220
c194,25,168
c195,107,221
c196,170,235
c197,189,249
c198,97,70
c199,103,226
c200,196,36
c201,239,298
c202,239,146
c203,0,351
c204,5,349
c205,51,337
c206,97,153
c207,48,146
c208,124,86
c209,202,39
c210,126,326
c211,189,186
c212,230,296
c213,172,245
c214,32,109
c215,166,14
c216,199,97
c217,199,88
c218,193,288
c219,57,313
c220,163,132
c221,239,273
c222,170,153
c223,25,261
c224,186,132
c225,149,9
c226,55,287
c227,201,9
c228,33,112
c229,64,96
c230,199,45
c231,212,196
c232,2,332
c233,120,226
c234,48,60
c235,2,26
c236,243,312
c237,28,324
c238,251,139
c239,34,188
c240,163,128
c241,149,53
c242,140,321
c243,163,355
c244,186,280
c245,218,195
c246,186,249
c247,103,115
c248,126,337
c249,55,318
c250,2,73
c251,178,95
c252,81,117
c253,87,125
c254,209,110
c255,94,83
c256,209,104
c257,5,155
c258,186,103
c259,195,365
c260,212,301
c261,143,21
c262,172,74
c263,15,176
c264,163,234
c265,209,243
c266,109,62
c267,5,250
c268,2,102
c269,230,259
c270,57,76
c271,173,88
c272,209,108
c273,149,25
c274,3,32
c275,78,299
c276,172,190
c277,87,68
c278,38,294
c279,212,252
c280,212,135
c281,171,190
c282,166,328
c283,25,321
c284,149,313
c285,176,201
c286,33,277
c287,64,251
c288,79,199
c289,222,59
c290,225,36
c291,230,134
c292,166,340
c293,94,18
c294,110,344
c295,51,345
c296,251,359
c297,86,58
c298,218,357
c299,217,35
c300,10,190
c301,26,20
c302,186,91
c303,51,277
c304,25,299
c305,97,180
c306,189,123
c307,155,35
c308,172,229
c309,5,258
c310,103,142
c311,212,350
c312,2,104
c313,149,285
c314,97,296
c315,48,269
c316,57,193
c317,245,215
c318,163,165
c319,212,78
c320,38,122
c321,239,117
c322,217,160
c323,239,304
c324,243,370
c325,186,290
c326,100,246
c327,64,269
c328,239,219
c329,25,117
c330,230,367
c331,201,223
c332,155,75
c333,25,232
c334,186,63
c335,32,178
c336,15,366
c337,196,156
c338,33,84
c339,124,203
c340,251,251
c341,163,238
c342,186,23
c343,189,242
c344,25,111
c345,84,207
c346,97,175
c347,97,84
c348,103,339
c349,163,77
c350,212,40
c351,34,298
c352,125,195
c353,94,149
c354,28,338
c355,163,44
c356,25,6
c357,140,130
c358,104,346
c359,186,122
c360,120,315
c361,245,21
c362,143,97
c363,48,110
c364,117,185
c365,230,225
c366,163,244
c367,74,241
c368,61,367
c369,64,288
c370,230,167
c371,61,305
c372,10,291
c373,230,89
c374,38,227
c375,140,88
c376,56,255
c377,84,362
c378,243,245
c379,163,215
c380,209,200
c381,40,207
c382,195,351
c383,209,39
c384,97,166
c385,11,208
c386,71,257
c387,209,350
c388,78,153
c389,156,295
c390,170,241
c391,149,363
c392,222,323
c393,148,95
c394,209,198
c395,140,73
c396,38,355
c397,124,337
c398,224,258
c399,230,299
c400,87,262
c401,230,199
c402,212,94
c403,186,124
c404,87,260
c405,63,177
c406,155,120
c407,143,207
