,coordinate1,coordinate2
f0,126,674
f1,678,644
f2,294,340
f3,477,144
f4,0,311
f5,55,221
f6,25,192
f7,222,505
f8,393,208
f9,636,378
f10,462,608
f11,677,677
f12,166,47
f13,475,206
f14,179,225
f15,592,186
f16,317,197
f17,439,640
f18,600,72
f19,172,317
f20,383,571
f21,385,694
f22,324,588
f23,465,13
f24,255,88
f25,485,439
f26,570,207
f27,314,106
f28,360,154
f29,646,340
f30,615,630
f31,492,709
f32,646,594
f33,308,188
f34,498,18
f35,584,76
f36,580,53
f37,294,311
f38,554,294
f39,662,204
f40,350,573
f41,48,307
f42,125,315
f43,425,561
f44,2,670
f45,324,576
f46,79,371
f47,626,161
f48,488,357
f49,192,380
f50,132,391
f51,485,304
f52,639,345
f53,148,680
f54,327,554
f55,416,519
f56,646,707
f57,646,318
f58,406,571
f59,350,494
f60,373,281
f61,626,217
f62,199,510
f63,232,315
f64,18,483
f65,241,154
f66,48,308
f67,347,514
f68,163,15
f69,130,362
f70,477,631
f71,562,582
f72,148,421
f73,629,292
f74,222,251
f75,209,111
f76,330,232
f77,15,372
f78,600,332
f79,655,159
f80,186,166
f81,518,306
f82,339,601
f83,94,624
f84,331,436
f85,442,697
f86,294,243
f87,240,281
f88,719,368
f89,64,638
f90,232,151
f91,685,565
f92,304,301
f93,360,448
f94,600,401
f95,350,236
f96,508,11
f97,179,107
f98,600,196
f99,521,6
f100,61,536
f101,447,110
f102,147,635
f103,199,261
f104,310,205
f105,130,11
f106,78,274
f107,531,507
f108,531,121
f109,356,559
f110,531,619
f111,677,110
f112,5,411
f113,692,382
f114,580,123
f115,41,577
f116,719,29
f117,40,366
f118,442,270
f119,258,193
f120,178,577
f121,439,444
f122,143,379
f123,531,532
f124,629,335
f125,218,282
f126,51,624
f127,719,269
f128,540,314
f129,580,640
f130,301,392
f131,94,669
f132,255,168
f133,126,271
f134,424,536
f135,38,328
f136,626,68
f137,71,414
f138,301,413
f139,354,526
f140,539,440
f141,692,675
f142,534,605
f143,265,299
f144,639,402
f145,117,524
f146,258,321
f147,419,437
f148,34,638
f149,57,313
f150,439,136
f151,554,523
f152,701,28
f153,607,332
f154,393,282
f155,692,612
f156,247,631
f157,171,377
f158,615,406
f159,25,568
f160,370,291
f161,25,457
f162,246,463
f163,707,677
f164,632,482
f165,608,29
f166,416,329
f167,125,631
f168,130,123
f169,103,145
f170,396,430
f171,360,220
f172,149,336
f173,324,358
f174,629,313
f175,577,218
f176,626,113
f177,173,541
f178,232,181
f179,679,629
f180,86,174
f181,695,477
f182,669,554
f183,408,91
f184,531,282
f185,492,294
f186,117,529
f187,255,552
f188,347,43
f189,362,70
f190,2,304
f191,245,84
f192,700,105
f193,363,212
f194,74,483
f195,117,417
f196,452,30
f197,554,516
f198,153,642
f199,577,404
f200,655,237
f201,523,573
f202,232,506
f203,554,647
f204,432,343
f205,373,289
f206,465,236
f207,719,41
f208,209,449
f209,163,281
f210,33,671
f211,419,602
f212,255,47
f213,255,242
f214,448,145
f215,5,379
f216,57,679
f217,462,674
f218,508,243
f219,232,278
f220,48,633
f221,419,18
f222,607,29
f223,9,12
f224,109,224
f225,310,254
f226,71,448
f227,309,530
f228,544,102
f229,107,455
f230,195,33
f231,615,522
f232,94,375
f233,623,582
f234,632,280
f235,500,532
f236,623,481
f237,350,675
f238,416,278
f239,94,650
f240,669,91
f241,554,141
f242,235,118
f243,130,291
f244,34,325
f245,51,347
f246,2,318
f247,334,132
f248,166,708
f249,401,624
f250,61,144
f251,324,589
f252,218,325
f253,148,82
f254,240,209
f255,396,709
f256,638,115
f257,531,0
f258,264,314
f259,301,156
f260,500,451
f261,103,400
f262,186,137
f263,706,37
f264,455,568
f265,120,651
f266,262,87
f267,268,199
f268,224,572
f269,685,225
f270,600,204
f271,301,496
f272,245,231
f273,215,5
f274,678,93
f275,429,602
f276,48,137
f277,126,623
f278,41,280
f279,630,341
f280,301,205
f281,393,201
f282,125,342
f283,692,260
f284,662,401
f285,494,596
f286,350,205
f287,195,44
f288,186,69
f289,540,671
f290,347,526
f291,586,5
f292,291,150
f293,577,158
f294,439,432
f295,215,105
f296,166,381
f297,216,102
f298,271,379
f299,339,74
f300,695,611
f301,607,77
f302,546,538
f303,302,363
f304,224,629
f305,370,166
f306,370,561
f307,577,416
f308,79,443
f309,429,300
f310,301,125
f311,402,305
f312,577,267
f313,508,468
f314,94,305
f315,217,236
f316,9,439
f317,130,133
f318,179,237
f319,485,441
f320,429,67
f321,150,114
f322,600,577
f323,72,214
f324,523,67
f325,500,623
f326,402,566
f327,629,349
f328,626,542
f329,356,307
f330,562,27
f331,347,96
f332,695,558
f333,454,441
f334,419,235
f335,462,273
f336,11,179
f337,255,296
f338,133,646
f339,94,606
f340,692,276
f341,563,46
f342,613,461
f343,485,374
f344,508,283
f345,515,535
f346,247,576
f347,71,249
f348,304,319
f349,425,304
f350,179,102
f351,156,482
f352,400,626
f353,97,163
f354,25,25
f355,554,510
f356,669,232
f357,603,49
f358,360,63
f359,217,227
f360,669,652
f361,339,210
f362,631,617
f363,626,616
f364,79,570
f365,523,224
f366,347,593
f367,216,23
f368,126,514
f369,337,534
f370,600,157
f371,402,590
f372,255,577
f373,255,324
f374,218,646
f375,370,315
f376,416,382
f377,102,359
f378,613,129
f379,615,528
f380,48,424
f381,222,93
f382,629,397
f383,281,150
f384,419,307
f385,171,422
f386,396,368
f387,149,420
f388,172,9
f389,659,171
f390,11,103
f391,494,268
f392,692,581
f393,78,599
f394,534,635
f395,245,359
f396,695,460
f397,56,37
f398,600,308
f399,28,328
f400,285,233
f401,701,314
f402,143,179
f403,626,428
f404,0,341
f405,431,388
f406,80,124
f407,577,159
f408,659,438
f409,700,122
f410,10,611
f411,393,604
f412,0,667
f413,337,599
f414,34,327
f415,386,255
f416,232,146
f417,508,90
f418,179,302
f419,695,549
f420,672,295
f421,278,368
f422,623,62
f423,340,162
f424,262,101
f425,653,445
f426,117,289
f427,403,232
f428,371,382
f429,333,186
f430,677,524
f431,176,120
f432,255,272
f433,439,503
f434,102,431
f435,425,497
f436,547,58
f437,360,317
f438,347,363
f439,71,202
f440,649,19
f441,247,176
f442,356,25
f443,324,415
f444,401,432
f445,33,572
f446,609,94
f447,442,476
f448,170,409
f449,447,552
f450,278,444
f451,314,202
f452,402,615
f453,363,265
f454,652,406
f455,511,689
f456,125,669
f457,554,544
f458,278,525
f459,498,32
f460,700,290
f461,577,449
f462,48,318
f463,355,606
f464,294,616
f465,242,130
f466,133,618
f467,241,480
f468,57,129
f469,563,330
f470,331,232
f471,477,64
f472,222,263
f473,51,630
f474,600,616
f475,454,382
f476,163,69
f477,567,351
f478,695,436
f479,446,9
f480,286,284
f481,0,45
f482,695,578
f483,310,548
f484,140,195
f485,262,76
f486,120,662
f487,653,141
f488,18,251
f489,258,249
f490,655,482
f491,235,550
f492,531,641
f493,432,609
f494,406,564
f495,235,303
f496,308,306
f497,685,662
f498,504,716
f499,500,661
f500,546,620
f501,78,369
f502,71,31
f503,646,296
f504,425,432
f505,163,636
f506,25,290
f507,291,304
f508,241,94
f509,333,274
f510,692,354
f511,439,146
f512,600,47
f513,360,573
f514,485,380
f515,327,500
f516,370,123
f517,682,327
f518,590,326
f519,416,554
f520,215,318
f521,74,550
f522,370,154
f523,350,27
f524,462,346
f525,626,61
f526,63,633
f527,74,87
f528,537,70
f529,232,529
f530,155,407
f531,153,424
f532,209,142
f533,285,696
f534,452,471
f535,97,345
f536,120,417
f537,630,568
f538,163,400
f539,577,265
f540,334,680
f541,469,560
f542,649,290
f543,425,703
f544,447,47
f545,218,509
f546,240,696
f547,360,494
f548,163,505
f549,225,334
f550,719,523
f551,477,122
f552,569,440
f553,48,680
f554,94,681
f555,465,425
f556,25,185
f557,25,180
f558,485,480
f559,94,156
f560,79,306
f561,150,93
f562,215,334
f563,626,481
f564,57,567
f565,462,18
f566,94,159
f567,32,172
f568,262,237
f569,692,343
f570,678,554
f571,317,408
f572,80,242
f573,271,257
f574,5,540
f575,78,339
f576,10,66
f577,477,56
f578,84,116
f579,494,618
f580,156,484
f581,569,455
f582,5,85
f583,677,547
f584,400,421
f585,2,377
f586,71,160
f587,406,409
f588,508,460
f589,393,364
f590,84,617
f591,133,112
f592,692,614
f593,692,595
f594,356,665
f595,332,615
f596,423,261
f597,238,59
f598,439,450
f599,5,642
f600,719,49
f601,100,519
f602,626,9
f603,508,492
f604,143,373
f605,419,620
f606,309,514
f607,63,246
f608,534,510
f609,531,141
f610,462,263
f611,163,359
f612,672,161
f613,327,690
f614,163,648
f615,373,471
f616,350,480
f617,209,135
f618,373,249
f619,402,152
f620,218,467
f621,419,448
f622,172,665
f623,393,298
f624,653,555
f625,701,454
f626,580,330
f627,201,547
f628,600,447
f629,262,247
f630,310,245
f631,705,301
f632,419,243
f633,401,535
f634,485,160
f635,217,337
f636,630,620
f637,316,420
f638,5,377
f639,646,388
f640,293,546
f641,232,666
f642,590,352
f643,656,416
f644,429,487
f645,308,575
f646,163,634
f647,179,131
f648,293,624
f649,672,363
f650,587,69
f651,577,155
f652,416,487
f653,84,687
f654,570,310
f655,293,555
f656,294,131
f657,120,648
f658,362,75
f659,632,218
f660,38,408
f661,454,660
f662,232,432
f663,692,380
f664,10,340
f665,603,331
f666,186,113
f667,0,66
f668,531,620
f669,163,358
f670,80,596
f671,700,405
f672,147,19
f673,350,564
f674,471,340
f675,48,305
f676,613,141
f677,324,501
f678,477,664
f679,209,314
f680,255,675
f681,262,152
f682,327,137
f683,201,488
f684,554,548
f685,327,491
f686,425,480
f687,546,613
f688,179,526
f689,615,520
f690,554,232
f691,523,388
f692,0,69
f693,402,214
f694,84,500
f695,218,344
f696,423,281
f697,508,67
f698,71,203
f699,646,257
f700,240,135
f701,94,245
f702,683,29
f703,286,320
f704,471,430
f705,110,427
f706,695,401
f707,5,524
f708,534,432
f709,80,352
f710,163,401
f711,133,493
f712,262,92
f713,485,58
f714,544,345
f715,239,29
f716,402,322
f717,655,360
f718,682,345
f719,424,333
f720,232,176
f721,212,242
f722,271,390
f723,201,545
f724,149,559
f725,308,251
f726,631,577
f727,97,313
f728,301,265
f729,140,174
f730,379,290
f731,287,538
f732,600,181
f733,700,550
f734,488,8
f735,442,526
f736,212,93
f737,324,381
f738,676,285
f739,500,493
f740,379,360
f741,577,287
f742,224,631
f743,255,616
f744,261,149
f745,393,295
f746,294,246
f747,442,524
f748,156,231
f749,406,275
f750,170,638
f751,71,162
f752,600,344
f753,51,400
f754,719,627
f755,172,98
f756,511,322
f757,199,93
f758,172,273
f759,600,319
f760,477,465
f761,301,256
f762,373,452
f763,593,190
f764,153,177
f765,524,220
f766,350,130
f767,219,113
f768,309,188
f769,672,603
f770,316,593
f771,294,252
f772,719,85
f773,416,331
f774,11,665
f775,327,273
f776,57,391
f777,649,591
f778,557,346
f779,130,280
f780,209,233
f781,649,151
f782,577,313
f783,569,550
f784,538,45
f785,632,372
f786,557,85
f787,603,76
f788,585,474
f789,373,541
f790,661,348
f791,699,550
f792,245,28
f793,701,627
f794,416,63
f795,178,400
f796,699,411
f797,222,644
f798,370,606
f799,324,495
f800,613,153
f801,120,527
f802,84,368
f803,209,531
f804,633,240
f805,705,480
f806,57,340
f807,396,463
f808,511,284
f809,616,207
f810,554,42
f811,232,449
f812,232,662
f813,498,56
f814,294,37
f815,661,497
f816,71,538
f817,140,402
f818,429,129
f819,156,97
f820,294,598
f821,401,222
f822,48,501
f823,356,330
f824,488,353
f825,534,308
f826,285,500
f827,0,695
f828,310,555
f829,531,622
f830,102,548
f831,126,288
f832,562,69
f833,126,186
f834,408,239
f835,477,472
f836,446,552
f837,143,324
f838,447,535
f839,314,540
f840,393,126
f841,217,469
f842,577,179
f843,646,275
f844,225,558
f845,416,115
f846,34,663
f847,350,454
f848,239,33
f849,350,255
f850,546,276
f851,287,104
f852,199,705
f853,193,334
f854,262,143
f855,592,209
f856,472,5
f857,485,486
f858,678,290
f859,475,577
f860,590,346
f861,462,453
f862,406,470
f863,609,346
f864,707,650
f865,240,310
f866,692,642
f867,163,236
f868,692,232
f869,607,458
f870,659,492
f871,494,330
f872,377,226
f873,531,677
f874,649,11
f875,94,408
f876,409,113
f877,195,395
f878,314,490
f879,695,581
f880,465,445
f881,143,621
f882,209,143
f883,442,573
f884,79,128
f885,600,227
f886,719,289
f887,294,161
f888,107,185
f889,155,194
f890,109,255
f891,462,150
f892,632,20
f893,224,192
f894,393,223
f895,700,544
f896,97,676
f897,117,162
f898,178,340
f899,11,611
f900,554,602
f901,378,214
f902,626,432
f903,719,184
f904,676,618
f905,354,148
f906,281,123
f907,449,552
f908,649,535
f909,0,607
f910,216,328
f911,268,195
f912,400,290
f913,601,403
f914,653,442
f915,662,523
f916,396,267
f917,540,444
f918,653,204
f919,163,414
f920,309,580
f921,347,362
f922,370,426
f923,172,442
f924,385,54
f925,10,571
f926,577,386
f927,330,448
f928,508,153
f929,74,67
f930,470,219
f931,286,511
f932,140,417
f933,186,202
f934,672,435
f935,219,129
f936,569,479
f937,103,675
f938,195,290
f939,301,571
f940,580,638
f941,337,461
f942,539,540
f943,378,532
f944,477,217
f945,454,640
f946,423,570
f947,270,556
f948,494,525
f949,317,675
f950,153,500
f951,117,597
f952,209,519
f953,196,307
f954,719,375
f955,455,522
f956,679,612
f957,531,482
f958,51,639
f959,662,54
f960,172,539
f961,402,585
f962,485,613
f963,5,538
f964,71,82
f965,416,661
f966,310,233
f967,586,490
f968,654,231
f969,400,607
f970,402,290
f971,448,290
f972,409,664
f973,40,403
f974,655,353
f975,71,625
f976,425,566
f977,103,111
f978,569,648
f979,339,309
f980,462,266
f981,402,481
f982,143,75
f983,373,592
f984,117,317
f985,356,165
f986,55,464
f987,155,392
f988,401,322
f989,333,555
f990,79,115
f991,615,252
f992,286,694
f993,255,232
f994,584,132
f995,630,546
f996,603,67
f997,544,456
f998,475,168
f999,25,267
f1000,15,670
f1001,189,296
f1002,117,363
f1003,61,630
f1004,125,288
f1005,603,370
f1006,485,352
f1007,281,241
f1008,515,604
f1009,523,656
f1010,240,548
f1011,126,554
f1012,255,579
f1013,646,459
f1014,331,156
f1015,255,578
f1016,454,398
f1017,485,254
f1018,508,615
f1019,38,664
f1020,370,489
f1021,577,620
f1022,347,656
f1023,531,238
f1024,462,201
f1025,48,510
f1026,631,42
f1027,57,424
f1028,462,215
f1029,357,455
f1030,401,225
f1031,577,393
