,coordinate1,coordinate2
c0,279,283
c1,216,206
c2,270,152
c3,71,778
c4,94,616
c5,409,62
c6,419,628
c7,149,232
c8,155,37
c9,25,460
c10,33,532
c11,240,25
c12,232,420
c13,94,499
c14,429,819
c15,10,713
c16,235,196
c17,97,262
c18,17,445
c19,245,650
c20,97,421
c21,48,70
c22,235,779
c23,331,542
c24,255,168
c25,55,474
c26,379,538
c27,170,793
c28,324,29
c29,466,780
c30,416,623
c31,31,74
c32,140,524
c33,264,601
c34,362,473
c35,155,845
c36,301,830
c37,235,800
c38,339,414
c39,281,601
c40,219,155
c41,466,461
c42,125,167
c43,40,667
c44,370,283
c45,356,772
c46,255,401
c47,97,417
c48,393,701
c49,32,232
c50,241,781
c51,466,787
c52,164,116
c53,370,175
c54,209,807
c55,340,76
c56,176,853
c57,40,32
c58,8,691
c59,232,854
c60,325,259
c61,373,546
c62,281,92
c63,0,649
c64,324,396
c65,140,338
c66,57,531
c67,56,54
c68,117,508
c69,416,233
c70,232,516
c71,409,325
c72,255,286
c73,109,769
c74,232,436
c75,140,647
c76,383,677
c77,72,616
c78,383,222
c79,224,241
c80,209,303
c81,262,97
c82,63,669
c83,201,666
c84,241,348
c85,186,708
c86,255,280
c87,278,27
c88,314,665
c89,178,249
c90,454,848
c91,212,219
c92,385,440
c93,97,108
c94,48,447
c95,423,79
c96,293,494
c97,94,497
c98,301,785
c99,102,692
c100,28,62
c101,176,773
c102,63,196
c103,406,302
c104,153,285
c105,431,452
c106,15,29
c107,301,847
c108,193,244
c109,201,88
c110,117,400
c111,447,807
c112,51,691
c113,71,70
c114,26,142
c115,324,173
c116,77,268
c117,71,88
c118,301,287
c119,432,75
c120,212,627
c121,40,358
c122,401,24
c123,402,719
c124,324,709
c125,17,329
c126,163,169
c127,34,51
c128,224,547
c129,240,90
c130,454,693
c131,396,15
c132,396,619
c133,195,622
c134,232,239
c135,423,349
c136,102,722
c137,327,215
c138,194,184
c139,10,100
c140,125,290
c141,51,218
c142,74,54
c143,9,33
c144,202,588
c145,287,100
c146,55,731
c147,55,28
c148,117,786
c149,94,601
c150,25,543
c151,270,145
c152,419,353
c153,186,233
c154,140,278
c155,324,83
c156,15,714
c157,232,510
c158,291,693
c159,232,156
c160,370,22
c161,87,116
c162,101,35
c163,117,311
c164,48,507
c165,74,445
c166,94,394
c167,340,190
c168,416,706
c169,117,705
c170,178,86
c171,33,297
c172,232,145
c173,347,386
c174,56,515
c175,187,562
c176,26,545
c177,232,595
c178,339,277
c179,156,71
c180,293,323
c181,385,461
c182,86,794
c183,232,164
c184,0,685
c185,401,608
c186,11,310
c187,57,469
c188,148,443
c189,148,118
c190,255,662
c191,64,133
c192,429,444
c193,133,854
c194,439,517
c195,419,218
c196,301,303
c197,2,352
c198,232,451
c199,356,117
c200,48,727
c201,362,557
c202,439,518
c203,40,787
c204,71,591
c205,25,117
c206,268,781
c207,247,467
c208,212,651
c209,201,536
c210,401,28
c211,424,351
c212,130,8
c213,424,301
c214,38,646
c215,324,287
c216,193,168
c217,25,826
c218,301,611
c219,416,70
c220,84,277
c221,25,621
c222,25,758
c223,48,160
c224,71,790
c225,25,102
c226,40,770
c227,293,234
c228,360,642
c229,466,104
c230,255,653
c231,124,202
c232,71,814
c233,209,29
c234,431,462
c235,186,542
c236,132,128
c237,132,321
c238,10,731
c239,94,724
c240,383,328
c241,355,157
c242,34,287
c243,80,717
c244,48,56
c245,86,197
c246,48,371
c247,38,521
c248,301,119
c249,192,203
c250,255,268
c251,347,402
c252,48,588
c253,56,536
c254,310,158
c255,209,616
c256,71,717
c257,48,163
c258,370,575
c259,337,434
c260,117,232
c261,140,529
c262,178,345
c263,466,71
c264,189,857
c265,120,196
c266,97,469
c267,17,170
c268,48,502
c269,291,655
c270,0,487
c271,333,408
c272,278,627
c273,149,290
c274,163,233
c275,360,767
c276,102,664
c277,71,377
c278,109,180
c279,140,635
c280,393,692
c281,393,530
c282,117,123
c283,209,701
c284,48,680
c285,41,22
c286,41,172
c287,109,379
c288,255,426
c289,363,498
c290,109,236
c291,407,842
c292,222,234
c293,347,734
c294,218,172
c295,48,742
c296,268,105
c297,416,726
c298,125,175
c299,5,122
c300,5,683
c301,34,9
c302,107,55
c303,153,544
c304,408,434
c305,466,84
c306,425,188
c307,268,689
c308,224,238
c309,189,440
c310,370,699
c311,140,855
c312,242,27
c313,49,190
c314,232,344
c315,78,679
c316,301,725
c317,362,799
c318,270,307
c319,301,654
c320,281,66
c321,316,319
c322,288,842
c323,120,318
c324,225,406
c325,2,142
c326,371,280
c327,17,240
c328,466,724
c329,241,548
c330,125,775
c331,125,558
c332,385,584
c333,301,628
c334,324,88
c335,396,617
c336,393,392
c337,97,672
c338,232,492
c339,241,111
c340,209,625
c341,101,704
c342,347,572
c343,40,670
c344,292,836
c345,316,72
c346,439,325
c347,124,134
c348,94,34
c349,155,335
c350,324,168
c351,117,515
c352,186,229
c353,155,673
c354,270,361
c355,2,795
c356,285,41
c357,71,367
c358,17,563
c359,140,293
c360,279,326
c361,360,565
c362,25,461
c363,324,288
c364,258,531
c365,48,669
c366,109,241
c367,223,845
c368,232,248
c369,347,94
c370,140,90
c371,117,157
c372,48,58
c373,419,343
c374,140,357
c375,248,712
c376,25,148
c377,466,49
c378,406,651
c379,379,707
c380,149,140
c381,440,420
c382,429,614
c383,423,598
c384,308,360
c385,370,569
c386,48,589
c387,94,267
c388,156,314
c389,25,453
c390,56,508
c391,301,76
c392,263,805
c393,370,733
c394,291,35
c395,163,581
c396,110,558
c397,201,71
c398,224,6
c399,110,13
c400,385,519
c401,109,454
c402,140,491
c403,109,271
c404,370,508
c405,393,653
c406,209,52
c407,140,464
c408,255,757
c409,141,472
c410,347,512
c411,194,232
c412,132,485
c413,117,670
c414,143,703
c415,222,649
c416,194,220
c417,455,471
