,coordinate1,coordinate2
f0,71,47
f1,567,14
f2,71,74
f3,554,21
f4,373,73
f5,531,13
f6,278,43
f7,471,57
f8,396,62
f9,373,65
f10,61,36
f11,355,66
f12,55,60
f13,360,46
f14,218,47
f15,393,49
f16,262,17
f17,419,36
f18,356,50
f19,462,54
f20,485,21
f21,393,46
f22,554,33
f23,217,0
f24,103,66
f25,492,33
f26,327,27
f27,455,51
f28,402,10
f29,32,45
f30,94,17
f31,239,26
f32,485,13
f33,377,39
f34,304,69
f35,439,12
f36,579,55
f37,523,17
f38,48,35
f39,81,5
f40,110,18
f41,255,57
f42,2,35
f43,554,40
f44,396,49
f45,109,27
f46,235,28
f47,94,65
f48,186,21
f49,2,12
f50,255,63
f51,56,68
f52,51,71
f53,101,71
f54,153,66
f55,199,0
f56,508,10
f57,264,72
f58,554,12
f59,424,57
f60,9,57
f61,255,30
f62,521,35
f63,81,26
f64,58,54
f65,281,14
f66,370,12
f67,201,32
f68,127,0
f69,508,51
f70,17,18
f71,264,65
f72,324,52
f73,429,16
f74,347,45
f75,316,19
f76,54,54
f77,218,23
f78,579,39
f79,439,55
f80,498,35
f81,186,65
f82,307,0
f83,400,41
f84,270,43
f85,79,10
f86,216,0
f87,34,10
f88,429,25
f89,19,0
f90,378,10
f91,350,40
f92,301,19
f93,332,12
f94,101,74
f95,28,56
f96,284,17
f97,531,60
f98,281,52
f99,534,78
f100,485,10
f101,534,74
f102,439,21
f103,278,55
f104,419,69
f105,508,48
f106,557,17
f107,517,38
f108,209,22
f109,485,63
f110,80,60
f111,373,69
f112,94,27
f113,379,18
f114,241,23
f115,517,11
f116,32,57
f117,324,47
f118,120,60
f119,103,63
f120,425,5
f121,258,32
f122,107,11
f123,10,12
f124,48,76
f125,419,30
f126,241,5
f127,488,28
f128,485,41
f129,554,23
f130,149,52
f131,324,44
f132,127,5
f133,123,31
f134,291,77
f135,288,74
f136,517,77
f137,54,30
f138,186,10
f139,222,61
f140,419,64
f141,354,34
f142,393,47
f143,232,35
f144,232,10
f145,508,14
f146,370,35
f147,475,33
f148,56,21
f149,209,77
f150,563,69
f151,5,46
f152,33,15
f153,563,77
f154,485,59
f155,79,57
f156,2,10
f157,241,57
f158,350,68
f159,310,34
f160,255,29
f161,263,27
f162,209,20
f163,310,49
f164,508,17
f165,561,12
f166,508,63
f167,431,19
f168,51,34
f169,178,41
f170,17,37
f171,289,0
f172,102,10
f173,469,45
f174,64,59
f175,192,52
f176,124,68
f177,5,25
f178,74,47
f179,561,23
f180,337,34
f181,255,65
f182,241,42
f183,356,69
f184,361,0
f185,74,44
f186,304,51
f187,465,18
f188,71,52
f189,554,36
f190,48,39
f191,531,44
f192,475,49
f193,2,37
f194,235,63
f195,492,12
f196,309,22
f197,94,68
f198,540,16
f199,331,12
f200,51,13
f201,97,68
f202,498,51
f203,57,61
f204,538,32
f205,268,71
f206,217,30
f207,150,5
f208,579,45
f209,370,66
f210,120,8
f211,38,18
f212,495,75
f213,120,23
f214,55,30
f215,333,10
f216,149,73
f217,5,48
f218,324,46
f219,522,0
f220,309,26
f221,439,75
f222,445,31
f223,130,77
f224,286,47
f225,25,67
f226,41,47
f227,84,36
f228,383,31
f229,35,5
f230,125,65
f231,340,23
f232,508,13
f233,401,60
f234,10,10
f235,471,24
f236,425,54
f237,414,84
f238,74,69
f239,263,36
f240,563,16
f241,242,60
f242,554,14
f243,309,45
f244,304,7
f245,117,10
f246,28,8
f247,494,48
f248,425,70
f249,102,17
f250,485,73
f251,101,63
f252,40,23
f253,472,74
f254,126,17
f255,212,61
f256,324,42
f257,79,42
f258,94,69
f259,48,15
f260,117,36
f261,103,36
f262,517,32
f263,64,32
f264,492,49
f265,103,5
f266,120,16
f267,31,38
f268,11,23
f269,102,66
f270,102,72
f271,71,48
f272,58,30
f273,324,26
f274,55,0
f275,469,70
f276,347,39
f277,362,31
f278,25,70
f279,423,65
f280,393,74
f281,554,75
f282,101,21
f283,419,51
f284,414,0
f285,196,15
f286,94,10
f287,110,37
f288,350,60
f289,71,31
f290,34,12
f291,169,69
f292,145,0
f293,120,35
f294,217,62
f295,234,0
f296,332,42
f297,2,56
f298,477,55
f299,25,23
f300,79,48
f301,255,10
f302,544,14
f303,379,10
f304,101,66
f305,263,60
f306,55,63
f307,38,56
f308,471,30
f309,544,46
f310,425,22
f311,199,27
f312,416,54
f313,80,63
f314,401,44
f315,281,59
f316,235,66
f317,409,20
f318,166,56
f319,439,73
f320,301,62
f321,10,60
f322,477,54
f323,304,47
f324,33,65
f325,393,20
f326,15,11
f327,120,47
f328,278,71
f329,264,57
f330,347,10
f331,195,15
f332,540,49
f333,263,63
f334,212,29
f335,416,65
f336,447,45
f337,370,41
f338,462,53
f339,331,52
f340,57,15
f341,452,33
f342,264,15
f343,424,49
f344,278,10
f345,362,54
f346,452,78
f347,71,26
f348,355,48
f349,347,20
f350,186,77
f351,55,37
