,coordinate1,coordinate2
c0,238,257
c1,248,480
c2,232,167
c3,107,52
c4,25,32
c5,143,404
c6,232,11
c7,286,416
c8,232,413
c9,97,391
c10,2,356
c11,248,107
c12,225,286
c13,35,351
c14,278,291
c15,5,306
c16,299,426
c17,2,197
c18,247,254
c19,5,168
c20,232,384
c21,2,229
c22,79,333
c23,245,191
c24,94,283
c25,57,420
c26,199,344
c27,176,44
c28,218,276
c29,48,264
c30,263,65
c31,163,199
c32,74,32
c33,80,160
c34,287,521
c35,79,521
c36,71,277
c37,100,271
c38,263,119
c39,48,386
c40,176,112
c41,291,130
c42,9,194
c43,172,255
c44,278,147
c45,149,106
c46,170,250
c47,107,224
c48,186,16
c49,87,526
c50,120,17
c51,232,172
c52,48,125
c53,235,191
c54,11,201
c55,18,503
c56,299,414
c57,57,25
c58,281,224
c59,268,389
c60,218,513
c61,281,274
c62,97,436
c63,0,362
c64,285,42
c65,34,187
c66,195,394
c67,278,241
c68,245,67
c69,120,464
c70,248,93
c71,271,333
c72,209,426
c73,255,252
c74,281,511
c75,291,334
c76,281,307
c77,133,324
c78,241,98
c79,41,499
c80,133,312
c81,258,470
c82,178,268
c83,5,37
c84,33,530
c85,120,295
c86,216,138
c87,291,345
c88,51,250
c89,217,420
c90,80,417
c91,232,298
c92,80,357
c93,209,371
c94,163,150
c95,299,523
c96,48,123
c97,94,243
c98,238,446
c99,32,491
c100,269,443
c101,201,92
c102,225,233
c103,218,434
c104,10,149
c105,40,167
c106,255,414
c107,163,346
c108,94,82
c109,25,332
c110,74,164
c111,51,415
c112,71,295
c113,148,450
c114,248,333
c115,245,13
c116,248,499
c117,94,260
c118,278,253
c119,61,43
c120,173,493
c121,269,444
c122,48,79
c123,140,267
c124,48,42
c125,241,227
c126,163,247
c127,285,199
c128,51,261
c129,130,435
c130,278,257
c131,192,149
c132,5,103
c133,248,472
c134,291,79
c135,179,155
c136,84,277
c137,94,147
c138,51,31
c139,48,139
c140,268,193
c141,186,274
c142,212,387
c143,255,387
c144,74,351
c145,126,536
c146,209,149
c147,287,503
c148,25,530
c149,11,388
c150,94,226
c151,5,170
c152,94,328
c153,241,415
c154,258,350
c155,209,358
c156,2,132
c157,209,166
c158,281,87
c159,232,255
c160,222,482
c161,163,281
c162,299,540
c163,194,123
c164,235,430
c165,48,343
c166,103,119
c167,149,76
c168,212,115
c169,245,72
c170,5,96
c171,48,514
c172,212,149
c173,202,306
c174,109,76
