,area
c0,1
c1,1
c2,1
c3,0
c4,0
c5,1
c6,0
c7,1
c8,0
c9,0
c10,1
c11,0
c12,0
c13,1
c14,0
c15,0
c16,0
c17,0
c18,0
c19,0
c20,0
c21,0
c22,0
c23,1
c24,0
c25,0
c26,0
c27,0
c28,1
c29,0
c30,1
c31,1
c32,0
c33,0
c34,1
c35,0
c36,0
c37,0
c38,0
c39,1
c40,0
c41,1
c42,1
c43,1
c44,1
c45,0
c46,0
c47,0
c48,0
c49,0
c50,1
c51,1
c52,1
c53,0
c54,1
c55,1
c56,0
c57,0
c58,0
c59,0
c60,1
c61,0
c62,1
c63,0
c64,0
c65,0
c66,0
c67,1
c68,0
c69,0
c70,1
c71,0
c72,0
c73,1
c74,0
c75,0
c76,0
c77,0
c78,1
c79,0
c80,0
c81,0
c82,0
c83,0
c84,0
c85,1
c86,1
c87,1
c88,1
c89,0
c90,0
c91,1
c92,1
c93,0
c94,1
c95,0
c96,0
c97,0
c98,0
c99,1
c100,1
c101,1
c102,1
c103,0
c104,0
c105,0
c106,1
c107,1
c108,0
c109,1
c110,1
c111,0
c112,1
c113,0
c114,1
c115,1
c116,1
c117,0
c118,1
c119,0
c120,1
c121,1
c122,0
c123,1
c124,0
c125,1
c126,1
c127,0
c128,1
c129,0
c130,0
c131,0
c132,0
c133,0
c134,1
c135,0
c136,0
c137,0
c138,0
c139,1
c140,0
c141,0
c142,0
c143,0
c144,0
c145,0
c146,1
c147,0
c148,0
c149,1
c150,1
c151,1
c152,0
c153,0
c154,0
c155,1
c156,0
c157,0
c158,1
c159,0
c160,1
c161,0
c162,0
c163,0
c164,1
c165,0
c166,1
c167,0
c168,0
c169,0
c170,1
c171,0
c172,1
c173,0
c174,1
c175,1
c176,0
c177,0
c178,1
c179,0
c180,1
c181,0
c182,0
c183,1
c184,1
c185,1
c186,0
c187,0
c188,0
c189,1
c190,0
c191,0
c192,0
c193,1
c194,0
c195,0
c196,1
c197,0
c198,1
c199,0
c200,0
c201,0
c202,0
c203,1
c204,0
c205,0
c206,0
c207,1
c208,0
c209,0
c210,0
c211,0
c212,1
c213,0
c214,0
c215,0
c216,0
c217,1
c218,0
c219,0
c220,0
c221,0
c222,0
c223,1
c224,1
c225,1
c226,0
c227,0
c228,1
c229,0
c230,0
c231,0
c232,0
c233,0
c234,0
c235,0
c236,1
c237,1
c238,0
c239,1
c240,0
c241,0
c242,0
c243,1
c244,1
c245,0
c246,0
c247,0
c248,1
c249,0
c250,1
c251,1
c252,1
c253,0
c254,1
c255,0
c256,1
c257,0
c258,1
c259,1
c260,0
c261,0
c262,0
c263,1
c264,0
c265,1
c266,0
c267,0
c268,1
c269,0
c270,1
c271,1
c272,1
