,area
f0,2
f1,0
f2,0
f3,1
f4,2
f5,1
f6,1
f7,0
f8,0
f9,2
f10,0
f11,1
f12,1
f13,2
f14,0
f15,1
f16,1
f17,2
f18,2
f19,2
f20,1
f21,0
f22,2
f23,1
f24,0
f25,0
f26,0
f27,2
f28,0
f29,0
f30,0
f31,2
f32,2
f33,2
f34,1
f35,2
f36,0
f37,1
f38,1
f39,0
f40,1
f41,1
f42,1
f43,0
f44,0
f45,1
f46,0
f47,1
f48,1
f49,1
f50,1
f51,1
f52,1
f53,1
f54,0
f55,0
f56,2
f57,2
f58,2
f59,2
f60,0
f61,0
f62,1
f63,0
f64,2
f65,2
f66,0
f67,1
f68,1
f69,0
f70,1
f71,2
f72,0
f73,2
f74,2
f75,2
f76,1
f77,1
f78,0
f79,0
f80,2
f81,2
f82,1
f83,2
f84,1
f85,0
f86,1
f87,2
f88,1
f89,0
f90,2
f91,2
f92,0
f93,2
f94,2
f95,1
f96,1
f97,0
f98,1
f99,1
f100,1
f101,0
f102,0
f103,1
f104,0
f105,0
f106,0
f107,2
f108,2
f109,0
f110,0
f111,1
f112,1
f113,2
f114,2
f115,0
f116,1
f117,2
f118,0
f119,2
f120,0
f121,0
f122,0
f123,2
f124,0
f125,2
f126,0
f127,0
f128,2
f129,1
f130,1
f131,2
f132,2
f133,2
f134,1
f135,0
f136,1
f137,0
f138,1
f139,0
f140,0
f141,2
f142,1
f143,2
f144,2
f145,1
f146,2
f147,1
f148,0
f149,2
f150,1
f151,0
f152,1
f153,0
f154,2
f155,1
f156,1
f157,2
f158,1
f159,2
f160,2
f161,1
f162,1
f163,1
f164,1
f165,0
f166,0
f167,1
f168,1
f169,1
f170,0
f171,1
f172,1
f173,2
f174,1
f175,2
f176,2
f177,2
f178,1
f179,2
f180,2
f181,2
f182,1
f183,0
f184,2
f185,2
f186,0
f187,0
f188,1
f189,2
f190,2
f191,2
f192,1
f193,2
f194,2
f195,1
f196,2
f197,2
f198,1
f199,1
f200,0
f201,2
f202,2
f203,1
f204,2
f205,2
f206,0
f207,1
f208,2
f209,0
f210,1
f211,2
f212,1
f213,2
f214,1
f215,1
f216,0
f217,0
f218,0
f219,0
f220,1
f221,1
f222,1
f223,2
f224,2
f225,1
f226,0
f227,0
f228,1
f229,2
f230,2
f231,0
f232,2
f233,1
f234,0
f235,1
f236,1
f237,0
f238,1
f239,1
f240,1
f241,0
f242,1
f243,1
f244,2
f245,2
f246,0
f247,0
f248,0
f249,0
f250,0
f251,0
f252,2
f253,2
f254,2
f255,0
f256,0
f257,0
f258,1
f259,2
f260,0
f261,2
f262,0
f263,2
f264,2
f265,2
f266,0
f267,1
f268,2
f269,2
f270,0
f271,2
f272,1
f273,1
f274,1
f275,1
f276,1
f277,1
f278,0
f279,2
f280,2
f281,1
f282,0
f283,0
f284,2
f285,0
f286,1
f287,2
f288,0
f289,1
f290,0
f291,2
f292,1
f293,1
f294,0
f295,1
f296,1
f297,2
f298,0
f299,0
f300,0
f301,0
f302,0
f303,1
f304,2
f305,1
f306,1
f307,2
f308,2
f309,2
f310,0
f311,1
f312,2
f313,1
f314,0
f315,1
f316,0
f317,2
f318,1
f319,1
f320,2
f321,1
f322,2
f323,1
f324,1
f325,0
f326,2
f327,1
f328,1
f329,0
f330,0
f331,1
f332,1
f333,2
f334,2
f335,0
f336,2
f337,0
f338,1
f339,2
f340,2
f341,2
f342,0
f343,0
f344,0
f345,2
f346,2
f347,2
f348,2
f349,0
f350,1
f351,2
f352,1
f353,1
f354,0
f355,2
f356,0
f357,1
f358,1
f359,0
f360,1
f361,1
f362,1
f363,2
f364,1
f365,2
f366,1
f367,1
f368,1
f369,1
f370,2
f371,2
f372,1
f373,2
f374,1
f375,1
f376,2
f377,0
f378,1
f379,2
f380,0
f381,1
f382,0
f383,1
f384,1
f385,2
f386,2
f387,1
f388,2
f389,1
f390,0
f391,0
f392,0
f393,2
f394,2
f395,2
f396,2
f397,1
f398,1
f399,0
f400,1
f401,2
f402,2
f403,0
f404,2
f405,1
f406,2
f407,2
f408,1
f409,2
f410,1
f411,2
f412,2
f413,1
f414,0
f415,0
f416,0
f417,0
f418,1
f419,2
f420,1
f421,2
f422,0
f423,1
f424,1
f425,1
f426,0
f427,1
f428,1
f429,1
f430,1
f431,0
f432,2
f433,1
f434,0
f435,1
