,area
c0,1
c1,1
c2,2
c3,0
c4,0
c5,0
c6,2
c7,1
c8,0
c9,2
c10,0
c11,2
c12,1
c13,0
c14,0
c15,2
c16,2
c17,0
c18,2
c19,0
c20,1
c21,1
c22,1
c23,0
c24,2
c25,0
c26,1
c27,1
c28,0
c29,2
c30,0
c31,2
c32,0
c33,1
c34,0
c35,1
c36,0
c37,2
c38,0
c39,1
c40,1
c41,1
c42,1
c43,0
c44,0
c45,2
c46,2
c47,0
c48,0
c49,2
c50,2
c51,1
c52,1
c53,2
c54,1
c55,2
c56,2
c57,2
c58,0
c59,0
c60,1
c61,1
c62,2
c63,1
c64,2
c65,2
c66,0
c67,1
c68,2
c69,0
c70,2
c71,0
c72,0
c73,2
c74,1
c75,2
c76,0
c77,0
c78,2
c79,2
c80,0
c81,0
c82,2
c83,2
c84,2
c85,0
c86,2
c87,2
c88,0
c89,2
c90,2
c91,0
c92,1
c93,2
c94,2
c95,0
c96,2
c97,2
c98,2
c99,0
c100,0
c101,2
c102,1
c103,0
c104,2
c105,2
c106,0
c107,0
c108,2
c109,2
c110,1
c111,2
c112,0
c113,2
c114,2
c115,2
c116,1
c117,2
c118,0
c119,1
c120,0
c121,1
c122,2
c123,2
c124,2
c125,0
c126,0
c127,1
c128,0
c129,2
c130,0
c131,2
c132,0
c133,0
c134,2
c135,2
c136,0
c137,2
c138,0
c139,2
c140,1
c141,0
c142,1
c143,1
c144,0
c145,2
c146,0
c147,0
c148,0
c149,2
c150,1
c151,2
c152,2
c153,0
c154,1
c155,2
c156,2
c157,2
c158,2
c159,0
c160,0
c161,1
c162,0
c163,0
c164,2
c165,2
c166,0
c167,1
c168,1
c169,1
c170,0
c171,2
c172,0
c173,0
c174,2
c175,2
c176,2
c177,2
c178,2
c179,1
c180,1
c181,2
c182,1
c183,0
c184,2
c185,0
c186,2
c187,0
c188,0
c189,0
c190,2
c191,0
c192,2
c193,2
c194,0
c195,2
c196,1
c197,1
c198,1
c199,1
c200,1
c201,2
c202,0
c203,2
c204,1
c205,0
c206,1
c207,2
c208,2
c209,2
c210,0
c211,1
c212,2
c213,2
c214,0
c215,0
c216,2
c217,2
c218,2
c219,1
c220,1
c221,2
c222,0
c223,0
c224,2
c225,2
c226,2
c227,2
c228,2
c229,2
c230,2
c231,2
c232,2
c233,1
c234,2
c235,2
c236,1
c237,1
c238,2
c239,0
c240,1
c241,0
c242,2
c243,0
c244,2
c245,2
c246,0
c247,1
c248,1
c249,2
c250,2
c251,2
c252,2
c253,1
c254,0
c255,0
c256,2
c257,2
c258,2
c259,2
c260,1
c261,0
c262,0
c263,2
c264,1
c265,1
c266,0
c267,2
c268,2
c269,0
c270,2
c271,0
c272,2
c273,1
c274,2
c275,0
c276,0
c277,1
c278,1
c279,0
c280,2
c281,2
c282,2
c283,0
c284,0
c285,2
c286,0
c287,0
c288,2
c289,2
c290,2
c291,2
c292,1
c293,2
c294,1
c295,1
c296,2
c297,2
c298,0
c299,0
c300,2
c301,1
c302,2
c303,0
c304,0
c305,1
c306,2
c307,2
c308,0
c309,0
c310,1
c311,1
c312,2
c313,1
c314,2
c315,2
c316,1
c317,2
c318,1
c319,1
c320,2
c321,1
c322,1
c323,1
c324,0
c325,2
c326,2
c327,2
c328,2
c329,0
c330,2
c331,0
c332,0
c333,2
c334,1
c335,2
c336,1
c337,0
c338,2
c339,0
c340,1
c341,0
c342,0
c343,0
c344,0
c345,0
c346,2
c347,1
c348,0
c349,2
c350,0
c351,0
c352,0
c353,0
c354,2
c355,2
c356,2
c357,0
c358,2
c359,0
c360,0
c361,2
c362,2
c363,1
c364,1
c365,2
c366,0
c367,1
c368,2
c369,2
c370,0
c371,1
c372,2
c373,2
c374,2
c375,2
c376,2
c377,0
c378,2
c379,2
c380,0
c381,1
c382,2
c383,1
c384,0
c385,0
c386,0
c387,2
c388,0
c389,0
c390,1
c391,0
c392,2
c393,2
c394,1
c395,1
c396,2
c397,1
c398,1
c399,1
c400,1
c401,2
c402,2
c403,0
c404,2
c405,0
c406,2
c407,0
c408,2
c409,1
c410,1
c411,2
c412,1
c413,0
c414,1
c415,2
c416,0
c417,2
c418,1
c419,0
c420,1
c421,1
c422,1
c423,2
c424,2
c425,0
c426,1
c427,2
c428,1
c429,1
c430,2
c431,2
c432,2
c433,2
c434,2
c435,2
c436,0
c437,2
c438,2
c439,2
c440,0
c441,1
c442,2
c443,0
c444,2
c445,2
c446,0
c447,0
c448,2
c449,1
c450,2
c451,0
c452,2
c453,0
c454,1
c455,2
c456,1
c457,2
c458,0
c459,0
c460,1
c461,2
c462,0
c463,2
c464,0
c465,1
c466,1
c467,2
c468,2
c469,1
c470,2
c471,1
c472,0
c473,0
c474,2
c475,0
c476,2
c477,2
c478,2
c479,2
c480,2
c481,0
c482,2
c483,2
c484,0
c485,2
c486,1
c487,0
c488,2
c489,1
c490,1
c491,0
c492,2
c493,0
c494,2
c495,1
c496,2
c497,0
c498,1
c499,2
