,area
f0,0
f1,1
f2,0
f3,2
f4,2
f5,2
f6,2
f7,0
f8,0
f9,2
f10,1
f11,0
f12,0
f13,2
f14,1
f15,2
f16,1
f17,1
f18,1
f19,2
f20,2
f21,1
f22,0
f23,0
f24,1
f25,0
f26,0
f27,1
f28,2
f29,2
f30,0
f31,2
f32,0
f33,2
f34,2
f35,0
f36,0
f37,2
f38,2
f39,1
f40,0
f41,2
f42,2
f43,1
f44,0
f45,0
f46,2
f47,0
f48,0
f49,0
f50,0
f51,1
f52,2
f53,0
f54,2
f55,2
f56,2
f57,0
f58,0
f59,1
f60,1
f61,1
f62,0
f63,0
f64,0
f65,0
f66,2
f67,2
f68,1
f69,2
f70,2
f71,2
f72,0
f73,2
f74,2
f75,2
f76,2
f77,0
f78,0
f79,2
f80,2
f81,0
f82,0
f83,2
f84,0
f85,2
f86,2
f87,2
f88,2
f89,2
f90,0
f91,2
f92,1
f93,1
f94,2
f95,1
f96,2
f97,1
f98,0
f99,2
f100,0
f101,1
f102,0
f103,2
f104,0
f105,0
f106,2
f107,2
f108,2
f109,1
f110,0
f111,1
f112,0
f113,2
f114,1
f115,2
f116,2
f117,0
f118,1
f119,2
f120,2
f121,0
f122,0
f123,0
f124,1
f125,1
f126,0
f127,1
f128,0
f129,0
f130,2
f131,0
f132,1
f133,2
f134,1
f135,2
f136,2
f137,0
f138,2
f139,2
f140,0
f141,2
f142,0
f143,1
f144,1
f145,1
f146,2
f147,2
f148,2
f149,2
f150,2
f151,0
f152,1
f153,0
f154,2
f155,0
f156,1
f157,2
f158,1
f159,0
f160,0
f161,2
f162,0
f163,2
f164,1
f165,2
f166,2
f167,0
f168,2
f169,1
f170,2
f171,0
f172,0
f173,0
f174,2
f175,2
f176,1
f177,2
f178,1
f179,2
f180,0
f181,0
f182,2
f183,0
f184,0
f185,1
f186,2
f187,2
f188,0
f189,0
f190,1
f191,2
f192,1
f193,0
f194,2
f195,1
f196,0
f197,2
f198,1
f199,0
f200,2
f201,0
f202,2
f203,1
f204,0
f205,0
f206,2
f207,2
f208,2
f209,1
f210,1
f211,2
f212,0
f213,2
f214,2
f215,2
f216,2
f217,1
f218,0
f219,1
f220,0
f221,1
f222,2
f223,1
f224,2
f225,2
f226,1
f227,0
f228,2
f229,2
f230,1
f231,1
f232,1
f233,1
f234,2
f235,2
f236,0
f237,0
f238,2
f239,0
f240,1
f241,0
f242,0
f243,0
f244,2
f245,2
f246,0
f247,2
f248,0
f249,0
f250,2
f251,2
f252,0
f253,2
f254,2
f255,0
f256,2
f257,0
f258,0
f259,1
f260,0
f261,1
f262,1
f263,2
f264,0
f265,0
f266,0
f267,0
f268,0
f269,0
f270,2
f271,2
f272,1
f273,1
f274,1
f275,0
f276,2
f277,2
f278,1
f279,0
f280,0
f281,1
f282,2
f283,1
f284,1
f285,0
f286,0
f287,1
f288,0
f289,0
f290,2
f291,1
f292,0
f293,1
f294,1
f295,0
f296,0
f297,0
f298,1
f299,1
f300,0
f301,2
f302,2
f303,0
f304,1
f305,2
f306,1
f307,0
f308,2
f309,0
f310,0
f311,1
f312,0
f313,0
f314,2
f315,0
f316,2
f317,1
f318,2
f319,1
f320,1
f321,0
f322,0
f323,2
f324,2
f325,1
f326,0
f327,0
f328,2
f329,1
f330,0
f331,0
f332,2
f333,0
f334,1
f335,1
f336,2
f337,2
f338,1
f339,2
f340,1
f341,2
f342,0
f343,2
f344,2
f345,0
f346,0
f347,2
f348,0
f349,2
f350,2
f351,0
f352,0
f353,1
f354,0
f355,2
f356,2
f357,0
f358,1
f359,2
f360,0
f361,0
f362,1
f363,2
f364,1
f365,2
f366,0
f367,1
f368,1
f369,2
f370,2
f371,2
f372,1
f373,2
f374,1
f375,2
f376,0
f377,0
f378,1
f379,0
f380,2
f381,0
f382,1
f383,2
f384,1
f385,2
f386,1
f387,2
f388,1
f389,2
f390,2
f391,0
f392,0
f393,0
f394,2
f395,0
f396,1
f397,2
f398,2
f399,1
f400,0
f401,0
f402,0
f403,1
f404,1
f405,0
f406,1
f407,0
f408,0
f409,2
f410,2
f411,0
f412,2
f413,2
f414,2
f415,0
f416,2
f417,0
f418,2
f419,1
f420,2
f421,2
f422,2
f423,2
f424,1
f425,0
f426,0
f427,2
f428,2
f429,2
f430,2
f431,2
f432,0
f433,1
f434,0
f435,2
f436,0
f437,2
f438,2
f439,2
f440,2
f441,2
f442,2
f443,0
f444,0
f445,0
f446,0
f447,0
f448,2
f449,2
f450,2
f451,1
f452,2
f453,1
f454,0
f455,0
f456,2
f457,2
f458,0
f459,2
f460,0
f461,0
f462,0
f463,2
f464,1
f465,0
f466,2
f467,1
f468,2
f469,2
f470,1
f471,2
f472,2
f473,1
f474,0
f475,1
f476,2
f477,0
f478,2
f479,1
f480,0
f481,1
f482,0
f483,1
f484,0
f485,0
f486,2
f487,2
f488,1
f489,1
f490,0
f491,1
f492,1
f493,0
f494,2
f495,1
f496,1
f497,2
f498,1
f499,2
