,area
c0,1
c1,1
c2,1
c3,2
c4,2
c5,1
c6,0
c7,1
c8,2
c9,2
c10,1
c11,2
c12,2
c13,1
c14,2
c15,0
c16,2
c17,0
c18,2
c19,2
c20,2
c21,2
c22,2
c23,0
c24,0
c25,0
c26,2
c27,2
c28,1
c29,2
c30,1
c31,1
c32,2
c33,0
c34,1
c35,2
c36,0
c37,2
c38,0
c39,0
c40,2
c41,1
c42,1
c43,0
c44,0
c45,0
c46,2
c47,2
c48,2
c49,0
c50,1
c51,1
c52,1
c53,2
c54,1
c55,1
c56,0
c57,0
c58,0
c59,0
c60,1
c61,2
c62,1
c63,0
c64,2
c65,0
c66,2
c67,1
c68,2
c69,0
c70,1
c71,0
c72,2
c73,1
c74,0
c75,2
c76,0
c77,2
c78,1
c79,2
c80,0
c81,2
c82,2
c83,2
c84,2
c85,1
c86,1
c87,0
c88,1
c89,0
c90,0
c91,1
c92,1
c93,2
c94,1
c95,2
c96,0
c97,0
c98,2
c99,1
c100,1
c101,1
c102,1
c103,0
c104,0
c105,2
c106,1
c107,1
c108,0
c109,0
c110,1
c111,2
c112,0
c113,0
c114,1
c115,1
c116,1
c117,2
c118,1
c119,0
c120,1
c121,1
c122,2
c123,1
c124,2
c125,1
c126,0
c127,0
c128,1
c129,0
c130,2
c131,2
c132,2
c133,2
c134,1
c135,0
c136,2
c137,2
c138,0
c139,1
c140,2
c141,2
c142,0
c143,2
c144,2
c145,2
c146,0
c147,2
c148,2
c149,1
c150,1
c151,1
c152,0
c153,2
c154,2
c155,1
c156,2
c157,2
c158,1
c159,2
c160,1
c161,2
c162,0
c163,2
c164,1
c165,2
c166,1
c167,2
c168,2
c169,2
c170,1
c171,0
c172,1
c173,2
c174,1
c175,1
c176,2
c177,2
c178,1
c179,2
c180,1
c181,2
c182,0
c183,1
c184,1
c185,0
c186,0
c187,0
c188,0
c189,1
c190,2
c191,2
c192,2
c193,1
c194,2
c195,2
c196,1
c197,2
c198,1
c199,2
c200,0
c201,2
c202,0
c203,1
c204,2
c205,0
c206,0
c207,1
c208,0
c209,2
c210,0
c211,2
c212,1
c213,2
c214,0
c215,0
c216,0
c217,1
c218,0
c219,2
c220,0
c221,2
c222,2
c223,0
c224,1
c225,1
c226,0
c227,0
c228,1
c229,0
c230,2
c231,2
c232,2
c233,0
c234,0
c235,2
c236,1
c237,1
c238,2
c239,1
c240,0
c241,2
c242,2
c243,1
c244,1
c245,0
c246,0
c247,2
c248,0
c249,2
c250,0
c251,1
c252,1
c253,0
c254,1
c255,2
c256,0
c257,2
c258,1
c259,0
c260,2
c261,2
c262,2
c263,1
c264,0
c265,1
c266,2
c267,2
c268,1
c269,2
c270,1
c271,1
c272,1
